,Company,PriceRs.,Day HighRs.
0,"
Oracle Finl. Service
",9658.00,9760.00
1,"
Bharti Airtel
",1425.75,1455.95
2,"
Indian Energy Exch
",178.25,181.75
3,"
Bajaj Hindusthan Sug
",41.73,42.99
4,"
Garden Reach Ship
",1535.05,1573.00
5,"
L&T Finance
",175.87,179.18
6,"
Chola Invest & Fin.
",1436.10,1439.95
7,"
Dixon Technologies
",10855.70,10888.80
8,"
Ultratech Cement
",11173.80,11299.00
9,"
Tata Steel
",182.56,184.10
10,"
Siemens
",7396.60,7468.00
11,"
Divi''s Lab
",4593.50,4617.00
12,"
Shriram Finance
",2684.30,2697.65
13,"
Praj Industries
",685.70,692.85
14,"
Ambuja Cement
",664.50,680.45
